ts_code,name,market,publisher,category,base_date,base_point,list_date,symbol_num,market_id
000683CNY02.SH,科创生物净收益,SSE,中证指数有限公司,主题指数,20191231,1000,20220509,000683CNY02,1
000685.SH,科创芯片,SSE,中证指数有限公司,主题指数,20191231,1000,20220613,000685,1
000685CNY01.SH,科创芯片全收益,SSE,中证指数有限公司,主题指数,20191231,1000,20220613,000685CNY01,1
000685CNY02.SH,科创芯片净收益,SSE,中证指数有限公司,主题指数,20191231,1000,20220613,000685CNY02,1
000687.SH,科创高装,SSE,中证指数有限公司,主题指数,20191231,1000,20220815,000687,1
000687CNY01.SH,科创高装全收益,SSE,中证指数有限公司,主题指数,20191231,1000,20220815,000687CNY01,1
000687CNY02.SH,科创高装净收益,SSE,中证指数有限公司,主题指数,20191231,1000,20220815,000687CNY02,1
000688.SH,科创50,SSE,中证指数有限公司,规模指数,20191231,1000,20200723,000688,1
000688CNY01.SH,科创50(全),SSE,中证指数有限公司,规模指数,20191231,1000,20200723,000688CNY01,1
000689.SH,科创材料,SSE,中证指数有限公司,主题指数,20191231,1000,20220815,000689,1
000689CNY01.SH,科创材料全收益,SSE,中证指数有限公司,主题指数,20191231,1000,20220815,000689CNY01,1
000689CNY02.SH,科创材料净收益,SSE,中证指数有限公司,主题指数,20191231,1000,20220815,000689CNY02,1
000690.SH,科创成长,SSE,中证指数有限公司,策略指数,20191231,1000,20221104,000690,1
000690CNY01.SH,科创成长全收益,SSE,中证指数有限公司,策略指数,20191231,1000,20221104,000690CNY01,1
000690CNY02.SH,科创成长净收益,SSE,中证指数有限公司,策略指数,20191231,1000,20221104,000690CNY02,1
000691.SH,科创ESG,SSE,中证指数有限公司,主题指数,20191231,1000,20240321,000691,1
000691CNY010.SH,科创ESG全收益,SSE,中证指数有限公司,主题指数,20191231,1000,20240321,000691CNY010,1
000692.SH,科创新能,SSE,中证指数有限公司,主题指数,20191231,1000,20230403,000692,1
000692CNY01.SH,科创新能全收益,SSE,中证指数有限公司,主题指数,20191231,1000,20230403,000692CNY01,1
